Generated by http://opendatacommunities.org,2025-01-02T20:18:05+00:00
http://opendatacommunities.org/data/societal-wellbeing/imd/indicesbyla,English Indices of Deprivation 2015 - Summaries at Local Authority Level
Indices of Deprivation,a. Index of Multiple Deprivation (IMD)
measure type,Average Score
Measure (cell values): ,Average Score

,,http://reference.data.gov.uk/id/year/2015
http://opendatacommunities.org/id/geography/administration/nmd/E07000042,Mid Devon,17.128
http://opendatacommunities.org/id/geography/administration/nmd/E07000203,Mid Suffolk,12.679
http://opendatacommunities.org/id/geography/administration/nmd/E07000228,Mid Sussex,7.615
http://opendatacommunities.org/id/geography/administration/nmd/E07000210,Mole Valley,8.87
http://opendatacommunities.org/id/geography/administration/nmd/E07000091,New Forest,12.44
http://opendatacommunities.org/id/geography/administration/nmd/E07000175,Newark and Sherwood,18.755
http://opendatacommunities.org/id/geography/administration/md/E08000021,Newcastle upon Tyne,28.264
http://opendatacommunities.org/id/geography/administration/nmd/E07000195,Newcastle-under-Lyme,18.472
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham,32.939
http://opendatacommunities.org/id/geography/administration/nmd/E07000043,North Devon,20.682
http://opendatacommunities.org/id/geography/administration/nmd/E07000050,North Dorset,13.886
http://opendatacommunities.org/id/geography/administration/nmd/E07000038,North East Derbyshire,16.843
http://opendatacommunities.org/id/geography/administration/nmd/E07000099,North Hertfordshire,11.616
http://opendatacommunities.org/id/geography/administration/nmd/E07000139,North Kesteven,11.58
http://opendatacommunities.org/id/geography/administration/nmd/E07000147,North Norfolk,21.343
http://opendatacommunities.org/id/geography/administration/md/E08000022,North Tyneside,21.279
http://opendatacommunities.org/id/geography/administration/nmd/E07000218,North Warwickshire,16.482
http://opendatacommunities.org/id/geography/administration/nmd/E07000134,North West Leicestershire,14.902
http://opendatacommunities.org/id/geography/administration/nmd/E07000154,Northampton,24.306
http://opendatacommunities.org/id/geography/administration/nmd/E07000148,Norwich,28.785
http://opendatacommunities.org/id/geography/administration/nmd/E07000219,Nuneaton and Bedworth,22.933
http://opendatacommunities.org/id/geography/administration/nmd/E07000135,Oadby and Wigston,13.132
http://opendatacommunities.org/id/geography/administration/md/E08000004,Oldham,30.291
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,Oxford,17.946
http://opendatacommunities.org/id/geography/administration/nmd/E07000122,Pendle,29.62
http://opendatacommunities.org/id/geography/administration/nmd/E07000123,Preston,27.404
http://opendatacommunities.org/id/geography/administration/nmd/E07000051,Purbeck,13.803
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge,20.242
http://opendatacommunities.org/id/geography/administration/nmd/E07000236,Redditch,21.218
http://opendatacommunities.org/id/geography/administration/nmd/E07000211,Reigate and Banstead,10.344
http://opendatacommunities.org/id/geography/administration/nmd/E07000124,Ribble Valley,10.185
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames,10.037
http://opendatacommunities.org/id/geography/administration/nmd/E07000166,Richmondshire,13.349
http://opendatacommunities.org/id/geography/administration/md/E08000005,Rochdale,33.684
http://opendatacommunities.org/id/geography/administration/nmd/E07000075,Rochford,11.033
http://opendatacommunities.org/id/geography/administration/nmd/E07000125,Rossendale,23.155
http://opendatacommunities.org/id/geography/administration/nmd/E07000064,Rother,18.554
http://opendatacommunities.org/id/geography/administration/md/E08000018,Rotherham,28.279
http://opendatacommunities.org/id/geography/administration/nmd/E07000220,Rugby,13.051
http://opendatacommunities.org/id/geography/administration/nmd/E07000212,Runnymede,10.943
http://opendatacommunities.org/id/geography/administration/nmd/E07000176,Rushcliffe,7.702
http://opendatacommunities.org/id/geography/administration/nmd/E07000092,Rushmoor,15.135
http://opendatacommunities.org/id/geography/administration/nmd/E07000167,Ryedale,15.461
http://opendatacommunities.org/id/geography/administration/md/E08000006,Salford,32.959
http://opendatacommunities.org/id/geography/administration/md/E08000028,Sandwell,34.614
http://opendatacommunities.org/id/geography/administration/nmd/E07000168,Scarborough,25.235
http://opendatacommunities.org/id/geography/administration/nmd/E07000188,Sedgemoor,19.506
http://opendatacommunities.org/id/geography/administration/md/E08000014,Sefton,25.732
http://opendatacommunities.org/id/geography/administration/nmd/E07000169,Selby,12.86
http://opendatacommunities.org/id/geography/administration/nmd/E07000111,Sevenoaks,11.648
http://opendatacommunities.org/id/geography/administration/md/E08000019,Sheffield,27.568
http://opendatacommunities.org/id/geography/administration/md/E08000029,Solihull,17.238
http://opendatacommunities.org/id/geography/administration/nmd/E07000006,South Bucks,9.328
http://opendatacommunities.org/id/geography/administration/nmd/E07000012,South Cambridgeshire,8.053
http://opendatacommunities.org/id/geography/administration/nmd/E07000039,South Derbyshire,13.676
http://opendatacommunities.org/id/geography/administration/nmd/E07000044,South Hams,14.072
http://opendatacommunities.org/id/geography/administration/nmd/E07000140,South Holland,18.579
http://opendatacommunities.org/id/geography/administration/nmd/E07000141,South Kesteven,14.225
http://opendatacommunities.org/id/geography/administration/nmd/E07000031,South Lakeland,12.232
http://opendatacommunities.org/id/geography/administration/nmd/E07000149,South Norfolk,13.027
http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire,7.847
http://opendatacommunities.org/id/geography/administration/nmd/E07000179,South Oxfordshire,8.56
http://opendatacommunities.org/id/geography/administration/nmd/E07000126,South Ribble,13.702
http://opendatacommunities.org/id/geography/administration/nmd/E07000189,South Somerset,16.644
http://opendatacommunities.org/id/geography/administration/nmd/E07000196,South Staffordshire,12.453
http://opendatacommunities.org/id/geography/administration/md/E08000023,South Tyneside,30.608
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark,29.489
http://opendatacommunities.org/id/geography/administration/nmd/E07000213,Spelthorne,13.189
http://opendatacommunities.org/id/geography/administration/nmd/E07000240,St Albans,7.668
http://opendatacommunities.org/id/geography/administration/nmd/E07000204,St Edmundsbury,15.271
http://opendatacommunities.org/id/geography/administration/md/E08000013,St. Helens,29.809
http://opendatacommunities.org/id/geography/administration/nmd/E07000197,Stafford,13.492
http://opendatacommunities.org/id/geography/administration/nmd/E07000198,Staffordshire Moorlands,15.217
http://opendatacommunities.org/id/geography/administration/nmd/E07000243,Stevenage,18.388
http://opendatacommunities.org/id/geography/administration/md/E08000007,Stockport,19.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000221,Stratford-on-Avon,11.41
http://opendatacommunities.org/id/geography/administration/nmd/E07000082,Stroud,10.893
http://opendatacommunities.org/id/geography/administration/nmd/E07000205,Suffolk Coastal,13.073
http://opendatacommunities.org/id/geography/administration/md/E08000024,Sunderland,29.725
http://opendatacommunities.org/id/geography/administration/nmd/E07000214,Surrey Heath,7.731
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton,14.579
http://opendatacommunities.org/id/geography/administration/nmd/E07000113,Swale,25.724
http://opendatacommunities.org/id/geography/administration/md/E08000008,Tameside,29.38
http://opendatacommunities.org/id/geography/administration/nmd/E07000199,Tamworth,20.251
http://opendatacommunities.org/id/geography/administration/nmd/E07000215,Tandridge,10.585
http://opendatacommunities.org/id/geography/administration/nmd/E07000190,Taunton Deane,16.514
http://opendatacommunities.org/id/geography/administration/nmd/E07000045,Teignbridge,16.525
http://opendatacommunities.org/id/geography/administration/nmd/E07000076,Tendring,28.445
